縣市,行政區,同意票數,不同意票數,有效票數,無效票數,投票數,投票權人數,已完成投票所投票率(%),有效同意票數對投票權人數(%)
 臺北市,市松山區,"42,583","37,246","79,829",743,"80,572","162,964",49.44%,26.13%
 臺北市,市信義區,"45,522","38,628","84,150",843,"84,993","181,747",46.76%,25.05%
 臺北市,市大安區,"64,621","52,374","116,995","1,132","118,127","242,869",48.64%,26.61%
 臺北市,市中山區,"41,082","45,181","86,263",794,"87,057","188,193",46.26%,21.83%
 臺北市,市中正區,"31,561","27,558","59,119",584,"59,703","123,767",48.24%,25.5%
 臺北市,市大同區,"18,691","28,589","47,280",402,"47,682","103,815",45.93%,18%
 臺北市,市萬華區,"34,430","36,874","71,304",777,"72,081","157,078",45.89%,21.92%
 臺北市,市文山區,"63,545","42,882","106,427","1,022","107,449","222,227",48.35%,28.59%
 臺北市,市南港區,"22,976","21,504","44,480",409,"44,889","99,364",45.18%,23.12%
 臺北市,市內湖區,"56,881","50,236","107,117","1,017","108,134","232,305",46.55%,24.49%
 臺北市,市士林區,"48,047","59,826","107,873","1,013","108,886","233,253",46.68%,20.6%
 臺北市,市北投區,"44,293","49,794","94,087",873,"94,960","207,834",45.69%,21.31%
 新北市,市板橋區,"90,594","112,174","202,768","1,931","204,699","466,918",43.84%,19.4%
 新北市,市三重區,"56,727","85,195","141,922","1,312","143,234","330,362",43.36%,17.17%
 新北市,市中和區,"89,185","72,562","161,747","1,657","163,404","355,238",46%,25.11%
 新北市,市永和區,"52,597","36,326","88,923",886,"89,809","186,020",48.28%,28.27%
 新北市,市新莊區,"61,045","83,772","144,817","1,312","146,129","352,098",41.5%,17.34%
 新北市,市新店區,"74,826","47,801","122,627","1,193","123,820","265,823",46.58%,28.15%
 新北市,市樹林區,"26,834","34,611","61,445",580,"62,025","152,907",40.56%,17.55%
 新北市,市鶯歌區,"12,763","16,179","28,942",241,"29,183","73,981",39.45%,17.25%
 新北市,市三峽區,"17,386","18,786","36,172",357,"36,529","96,164",37.99%,18.08%
 新北市,市淡水區,"32,177","31,061","63,238",586,"63,824","158,577",40.25%,20.29%
 新北市,市汐止區,"39,015","35,958","74,973",711,"75,684","179,909",42.07%,21.69%
 新北市,市瑞芳區,"5,663","6,302","11,965",130,"12,095","34,231",35.33%,16.54%
 新北市,市土城區,"37,192","43,497","80,689",746,"81,435","203,012",40.11%,18.32%
 新北市,市蘆洲區,"26,039","41,464","67,503",664,"68,167","170,282",40.03%,15.29%
 新北市,市五股區,"12,700","17,380","30,080",274,"30,354","76,657",39.6%,16.57%
 新北市,市泰山區,"11,896","14,329","26,225",217,"26,442","64,477",41.01%,18.45%
 新北市,市林口區,"19,868","19,512","39,380",378,"39,758","97,167",40.92%,20.45%
 新北市,市深坑區,"4,628","4,378","9,006",64,"9,070","20,901",43.4%,22.14%
 新北市,市石碇區,996,"1,612","2,608",24,"2,632","6,790",38.76%,14.67%
 新北市,市坪林區,781,"1,415","2,196",28,"2,224","6,057",36.72%,12.89%
 新北市,市三芝區,"3,352","3,434","6,786",69,"6,855","19,927",34.4%,16.82%
 新北市,市石門區,"1,568","1,634","3,202",47,"3,249","10,089",32.2%,15.54%
 新北市,市八里區,"5,702","7,022","12,724",103,"12,827","34,221",37.48%,16.66%
 新北市,市平溪區,637,812,"1,449",25,"1,474","4,076",36.16%,15.63%
 新北市,市雙溪區,"1,140","1,555","2,695",41,"2,736","7,605",35.98%,14.99%
 新北市,市貢寮區,"1,007","3,139","4,146",59,"4,205","10,765",39.06%,9.35%
 新北市,市金山區,"2,732","3,775","6,507",72,"6,579","18,573",35.42%,14.71%
 新北市,市萬里區,"2,960","3,384","6,344",59,"6,403","19,074",33.57%,15.52%
 新北市,市烏來區,977,707,"1,684",23,"1,707","5,261",32.45%,18.57%
 桃園市,市桃園區,"76,543","77,356","153,899","1,361","155,260","375,012",41.4%,20.41%
 桃園市,市中壢區,"80,175","62,861","143,036","1,232","144,268","347,023",41.57%,23.1%
 桃園市,市大溪區,"14,303","16,747","31,050",365,"31,415","79,690",39.42%,17.95%
 桃園市,市楊梅區,"30,264","23,653","53,917",471,"54,388","144,349",37.68%,20.97%
 桃園市,市蘆竹區,"23,843","28,755","52,598",455,"53,053","133,965",39.6%,17.8%
 桃園市,市大園區,"11,871","16,009","27,880",263,"28,143","77,353",36.38%,15.35%
 桃園市,市龜山區,"26,647","27,401","54,048",512,"54,560","138,592",39.37%,19.23%
 桃園市,市八德區,"35,044","32,589","67,633",693,"68,326","172,627",39.58%,20.3%
 桃園市,市龍潭區,"24,057","17,156","41,213",358,"41,571","103,835",40.04%,23.17%
 桃園市,市平鎮區,"41,642","34,537","76,179",734,"76,913","187,597",41%,22.2%
 桃園市,市新屋區,"7,500","8,581","16,081",149,"16,230","42,036",38.61%,17.84%
 桃園市,市觀音區,"8,579","12,532","21,111",206,"21,317","57,793",36.89%,14.84%
 桃園市,市復興區,"1,846",872,"2,718",36,"2,754","10,036",27.44%,18.39%
 臺中市,市中區,"2,765","3,264","6,029",52,"6,081","14,195",42.84%,19.48%
 臺中市,市東區,"13,433","15,382","28,815",292,"29,107","64,617",45.05%,20.79%
 臺中市,市南區,"23,033","23,694","46,727",411,"47,138","105,752",44.57%,21.78%
 臺中市,市西區,"20,880","22,256","43,136",362,"43,498","94,273",46.14%,22.15%
 臺中市,市北區,"27,969","26,435","54,404",468,"54,872","124,160",44.19%,22.53%
 臺中市,市西屯區,"41,866","38,908","80,774",769,"81,543","188,793",43.19%,22.18%
 臺中市,市南屯區,"30,899","31,089","61,988",581,"62,569","142,512",43.9%,21.68%
 臺中市,市北屯區,"52,864","48,707","101,571",858,"102,429","238,830",42.89%,22.13%
 臺中市,市豐原區,"26,452","32,362","58,814",530,"59,344","136,820",43.37%,19.33%
 臺中市,市東勢區,"9,349","7,520","16,869",226,"17,095","42,357",40.36%,22.07%
 臺中市,市大甲區,"10,815","12,519","23,334",257,"23,591","62,481",37.76%,17.31%
 臺中市,市清水區,"12,665","15,811","28,476",299,"28,775","73,629",39.08%,17.2%
 臺中市,市沙鹿區,"15,850","17,086","32,936",304,"33,240","76,561",43.42%,20.7%
 臺中市,市梧棲區,"8,546","10,065","18,611",202,"18,813","48,591",38.72%,17.59%
 臺中市,市后里區,"8,430","8,967","17,397",212,"17,609","45,052",39.09%,18.71%
 臺中市,市神岡區,"8,840","12,734","21,574",236,"21,810","54,903",39.72%,16.1%
 臺中市,市潭子區,"17,813","19,831","37,644",331,"37,975","91,035",41.71%,19.57%
 臺中市,市大雅區,"14,963","15,375","30,338",296,"30,634","78,438",39.06%,19.08%
 臺中市,市新社區,"3,981","4,065","8,046",132,"8,178","20,710",39.49%,19.22%
 臺中市,市石岡區,"2,744","2,479","5,223",65,"5,288","12,679",41.71%,21.64%
 臺中市,市外埔區,"5,051","4,720","9,771",109,"9,880","27,041",36.54%,18.68%
 臺中市,市大安區,"2,504","3,159","5,663",74,"5,737","16,320",35.15%,15.34%
 臺中市,市烏日區,"13,465","15,487","28,952",262,"29,214","63,587",45.94%,21.18%
 臺中市,市大肚區,"9,826","10,669","20,495",193,"20,688","47,755",43.32%,20.58%
 臺中市,市龍井區,"12,761","13,779","26,540",241,"26,781","64,759",41.35%,19.71%
 臺中市,市霧峰區,"11,686","12,969","24,655",197,"24,852","55,248",44.98%,21.15%
 臺中市,市太平區,"30,155","32,398","62,553",661,"63,214","162,482",38.91%,18.56%
 臺中市,市大里區,"32,764","38,130","70,894",656,"71,550","174,651",40.97%,18.76%
 臺中市,市和平區,"2,054",926,"2,980",47,"3,027","9,436",32.08%,21.77%
 臺南市,市新營區,"10,290","14,857","25,147",220,"25,367","63,992",39.64%,16.08%
 臺南市,市鹽水區,"2,569","5,772","8,341",92,"8,433","21,950",38.42%,11.7%
 臺南市,市白河區,"2,783","6,359","9,142",117,"9,259","24,122",38.38%,11.54%
 臺南市,市柳營區,"2,321","4,836","7,157",75,"7,232","18,522",39.05%,12.53%
 臺南市,市後壁區,"2,446","5,597","8,043",111,"8,154","20,265",40.24%,12.07%
